pyLabel,pyName,pyGroup,pyIssue,Category,TreatmentWeight,ContentFormat,PlacementType,Height,Width,ImageURL,StartDate,EndDate,ClickThroughURL,EligibilityConditions,Language,SourceRuleSetVersion,SourceRuleSetName,ApplyInheritedEligibility,pyIsPropositionActive,TreatmentType,Headline
Important information,TC061,,,Service,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer1.jpg,,,,,,,,,Always,Web,Important information
Important information,TC062,,,Service,,,Tile,,,,,,,,,,,,Always,Web,Important information
Unlock Exclusive Rewards with Our Premier Credit Card Offer,TC063_formal,,,Rewards Credit Card,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-1.jpg,,,,,,,,,Always,Web,Unlock exclusive rewards with our premium credit card offer!
Earn Rewards and Smile More with Our Cheerful Credit Card!,TC064_cheerful,,,Rewards Credit Card,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-1.jpg,,,,,,,,,Always,Web,Unlock endless rewards with our cheerful credit card!
"Earn Rewards So Good, Even Your Wallet Will Crack a Smile!",TC065_Humorous,,,Rewards Credit Card,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-1.jpg,,,,,,,,,Always,Web,"Swipe, earn, repeat: Get rewarded for your shopping addiction with our hilarious Rewards credit card!"
Secure Your Dream Home with Our Competitive Home Loan Rates,TC066_formal,,,Home Loans,,,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer3.jpg,,,,,,,,,Always,Web,Unlock Your Dream Home with Our Competitive Home Loan Rates
Unlock Your Dream Home with Our Joyful Home Loan Offers!,TC067_cheerful,,,Home Loans,,,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer3.jpg,,,,,,,,,Always,Web,Unlock your dream home with our unbeatable loan rates!
"Your Dream Home Awaits . No Jokes, Just Great Loan Rates!",TC068_Humorous,,,Home Loans,,,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer3.jpg,,,,,,,,,Always,Web,Get a home loan faster than your WiFi connection!
Experience Unmatched Privileges with Our Platinum Credit Car,TC069_formal,,,Platinum Credit cards,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-2.jpg,,,,,,,,,Always,Web,Experience the ultimate in luxury with our Platinum credit card.
Shine Bright with Our Platinum Card . Rewards That Spark Joy!,TC070_cheerful,,,Platinum Credit cards,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-2.jpg,,,,,,,,,Always,Web,Unlock exclusive perks with our Platinum credit card today!
Platinum Card: Because Your Wallet Deserves a VIP Treatment!,TC071_Humorous,,,Platinum Credit cards,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-2.jpg,,,,,,,,,Always,Web,Get ready to swipe like a boss with our Platinum credit card - because you deserve the best!
Enhance Your Journeys with Our Premium Travel Credit Card,TC072_formal,,,Travel Credit cards,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-3.jpg,,,,,,,,,Always,Web,Unlock Exclusive Travel Rewards with Our Premium Credit Card!
Jet.Set with Joy . Our Travel Card Makes Every Trip a Delight!,TC073_cheerful,,,Travel Credit cards,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-3.jpg,,,,,,,,,Always,Web,Unlock endless adventures with our Travel Rewards Card!
Travel Card: Because Your Passport Needs a Best Friend!,TC074_Humorous,,,Travel Credit cards,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/category-card-3.jpg,,,,,,,,,Always,Web,Jet set with our travel card - because vacations are cheaper than therapy!
Unlock Financial Security with Our Exclusive Regular Savings,TC075_formal,,,regular Savings,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer1.jpg,,,,,,,,,Always,Web,Secure your financial future with our exclusive regular saving plan!
Start Saving Today and Watch Your Future Shine Bright!,TC076_cheerful,,,regular Savings,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer1.jpg,,,,,,,,,Always,Web,Start saving with a smile - enjoy our regular savings offer today!
Save Like a Pro . Your Piggy Bank Will Thank You!,TC077_Humorous,,,regular Savings,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer1.jpg,,,,,,,,,Always,Web,"Save your pennies, not your sanity! Start a regular savings plan today!"
Achieve Financial Excellence with Our Premier Savings Account,TC078_formal,,,premier Savings,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer2.jpg,,,,,,,,,Always,Web,Exclusive Savings Event: Unbeatable Deals Await!
Elevate Your Savings . Premier Plans for a Brighter Tomorrow,TC079_cheerful,,,premier Savings,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer2.jpg,,,,,,,,,Always,Web,Save big with our exclusive premier offer! Don't miss out on these amazing savings!
Save Big: Even Your Piggy Bank Will Do a Happy Dance!,TC080_Humorous,,,premier Savings,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer2.jpg,,,,,,,,,Always,Web,Save big bucks and still have money for avocado toast!
Boost Your Business with Our Tailored Retail Loan Solutions,TC081_formal,,,Retail loan,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/main-offer.jpg,,,,,,,,,Always,Web,Unlock your financial potential with our exclusive Retail loan offer.
Brighten Your Future with Our Exciting Retail Loan Offer!,TC082_cheerful,,,Retail loan,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/main-offer.jpg,,,,,,,,,Always,Web,Get the funds you need with our Retail Loan Special!
Need a Loan? We've Got Your Back (And Your Wallet)!,TC083_Humorous,,,Retail loan,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/main-offer.jpg,,,,,,,,,Always,Web,Get a loan and shop 'til you drop - without dropping your savings!
Secure Your Financial Future with Our Fixed Loan Solutions,TC084_formal,,,Fixed loan,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer2.jpg,,,,,,,,,Always,Web,Lock in a low rate with our Fixed Loan offer today!
Lock in Your Dreams with Our Fantastic Fixed Loan Rates!,TC085_cheerful,,,Fixed loan,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer2.jpg,,,,,,,,,Always,Web,Lock in your dream home with our fixed loan offer!
Fixed Loans: Because Your Wallet Deserves a Little Stability,TC086_Humorous,,,Fixed loan,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer2.jpg,,,,,,,,,Always,Web,Lock in your loan rate and laugh all the way to the bank!
Maximize Your Savings Potential with Our Exclusive ISA Offer,TC087_formal,,,ISA saving,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer1.jpg,,,,,,,,,Always,Web,Maximize Your Savings Potential with Our Exclusive ISA Offer!
Boost Your Savings with Our Joyful ISA Offer!,TC088_cheerful,,,ISA saving,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer1.jpg,,,,,,,,,Always,Web,Start saving with our ISA offer and watch your money grow!
ISA Savings: Because Your Money Deserves a Cozy Home!,TC089_Humorous,,,ISA saving,,Image,Tile,,,http://clo1prpc91:8443/retail_bank/img/offer1.jpg,,,,,,,,,Always,Web,"Save your money, not your jokes - ISA savings with a side of humor!"
Maximize Your Returns with Our Exclusive Investment Opportunity,TC090_formal,,,investment,,,Tile,,,,,,,,,,,,Always,Web,Maximize Your Returns with Our Exclusive Investment Opportunity
Double your money with our exciting investment opportunity!,TC091_cheerful,,,investment,,,Tile,,,,,,,,,,,,Always,Web,Double your money with our exciting investment opportunity!
"Double your money, half the effort - invest with us today!",TC092_Humorous,,,investment,,,Tile,,,,,,,,,,,,Always,Web,"Double your money, half the effort - invest with us today!"
Exclusive Investment Opportunity: Unlock Your Financial Potential Today,TC093_formal,,,premier investment ,,,Tile,,,,,,,,,,,,Always,Web,Exclusive Investment Opportunity: Unlock Your Financial Potential Today
Unlock Your Wealth Potential with Our Premier Investment Opportunity!,TC094_cheerful,,,premier investment ,,,Tile,,,,,,,,,,,,Always,Web,Unlock Your Wealth Potential with Our Premier Investment Opportunity!
Get rich quick (but not too quick) with our premier investment offer!,TC095_Humorous,,,premier investment ,,,Tile,,,,,,,,,,,,Always,Web,Get rich quick (but not too quick) with our premier investment offer!
Secure Your Future with Our Pension Investment Plan,TC096_formal,,,Pension investment,,,Tile,,,,,,,,,,,,Always,Web,Secure Your Future with Our Pension Investment Plan
Secure your future with our happy pension investment plan!,TC097_cheerful,,,Pension investment,,,Tile,,,,,,,,,,,,Always,Web,Secure your future with our happy pension investment plan!
Secure your future with our pension plan - because retirement isn't for amateurs!,TC098_Humorous,,,Pension investment,,,Tile,,,,,,,,,,,,Always,Web,Secure your future with our pension plan - because retirement isn't for amateurs!
